identifier,metric,found_hit,score
A3MY15,1,YES,264.0
P0AC39,1,YES,348.3
Q09544,1,YES,142.1
Q89YT0,1,YES,294.2
P71047,1,YES,37.1
B7KZL6,1,YES,113.2
P57605,1,YES,69.8
P09468,1,YES,20.0
Q87DU9,1,YES,298.1
Q603U8,1,YES,13.8
Q9N0Z4,1,YES,58.1
Q8Y4B6,1,YES,37.9
A1UU72,0,NO,0.0
P26186,1,YES,25.2
Q14549,1,YES,157.5
P84044,1,YES,196.3
Q9XN27,1,YES,14.1
P77601,1,YES,108.5
A8ZNS1,1,YES,20.5
O96785,1,YES,378.9
Q5FAD3,1,YES,79.7
B5FYQ0,1,YES,168.2
Q9CIK4,1,YES,152.6
Q557H7,1,YES,178.0
Q06337,0,YES,13.2
P57459,1,YES,21.7
P40573,1,YES,29.7
Q5ZKW8,1,YES,16.3
Q9X2H9,1,YES,87.8
B4TCQ6,1,YES,44.3
C4LB08,1,YES,83.3
A9MYN8,0,NO,0.0
Q15ZV5,1,YES,323.5
Q1HRS5,1,YES,81.6
P41018,1,YES,115.8
Q9UNY5,1,YES,960.2
Q67TC3,1,YES,7.8
Q9CQ71,1,YES,210.7
Q5SIL5,1,YES,15.0
Q2FGC8,1,YES,429.6
O14130,1,YES,383.6
Q814V9,1,YES,37.4
P08285,1,YES,193.7
Q8CWQ7,1,YES,120.2
P16888,1,YES,203.6
B0CHU1,1,YES,197.8
P0ABS9,0,NO,0.0
Q1IIG9,1,YES,20.1
Q9CTG6,1,YES,112.2
Q2P6C9,1,YES,301.4
O95159,0,YES,22.0
Q32E25,1,YES,472.7
A4TM78,1,YES,309.4
P77300,1,YES,161.3
O94700,1,YES,166.4
C0ZX05,1,YES,183.9
B7LR40,0,NO,0.0
C3KXD9,0,YES,12.5
B2SAM1,1,YES,157.9
D2TS86,0,NO,0.0
B4EM48,0,NO,0.0
Q5RAJ7,1,YES,734.7
Q54087,1,YES,18.7
Q00790,0,NO,0.0
A3LPA1,1,YES,564.9
Q1C0H7,1,YES,32.6
B3DSY6,1,YES,34.5
A7GW36,1,YES,261.7
Q3JNJ9,1,YES,439.2
P38564,1,YES,109.5
P56296,0,YES,15.7
Q827Z1,0,YES,11.7
P19182,0,YES,13.0
B8HGW1,1,YES,59.6
Q6NLG7,1,YES,186.1
P0AEC3,1,YES,183.5
A4W292,1,YES,159.7
B1JJ30,1,YES,1102.5
O86046,1,YES,13.5
Q7VLX9,1,YES,34.6
Q3SPT8,1,YES,179.3
O31497,1,YES,62.3
Q04P84,0,NO,0.0
Q35920,1,YES,90.3
Q7UQZ8,1,YES,222.5
Q54L83,0,YES,22.7
A1AZB7,1,YES,11.9
P47979,1,YES,83.0
B7NR46,1,YES,12.5
A8B3G9,1,YES,294.6
Q6YQC1,1,YES,159.8
Q1KKU6,1,YES,144.6
B8H332,1,YES,301.0
Q9CQ31,1,YES,117.3
Q6VBB2,1,YES,420.3
P31453,1,YES,119.7
Q9FRH4,1,YES,63.9
P27893,1,YES,93.7
A8GZI0,1,YES,109.1
Q7ZVS9,1,YES,557.1
Q1RDP6,1,YES,18.4
Q8A250,1,YES,59.3
Q5F9T5,1,YES,75.6
Q91678,1,YES,333.1
Q9IA21,1,YES,105.5
Q62F04,1,YES,352.1
Q3Z8Z7,1,YES,52.8
A8GGT5,1,YES,293.0
Q9A4I3,1,YES,191.2
P86937,0,NO,0.0
A6VF38,1,YES,15.4
Q9LTJ8,1,YES,9.1
B7NUG6,1,YES,14.8
Q6L5E5,1,YES,46.9
B3M2I7,1,YES,17.7
P78774,1,YES,310.7
Q856K7,1,YES,155.6
A5A6P2,1,YES,821.6
P28912,1,YES,328.8
Q32RI0,1,YES,703.2
Q9FH32,1,YES,136.1
P09082,1,YES,337.4
Q9PB21,1,YES,138.5
Q6FK56,1,YES,140.8
A5VC87,1,YES,121.0
P33109,1,YES,338.6
Q735E5,1,YES,224.4
Q24206,1,YES,1004.7
P23754,1,YES,202.7
P31270,1,YES,540.7
P02302,1,YES,262.7
P06876,1,YES,1337.4
P33110,1,YES,36.5
Q2YBS0,1,YES,83.0
A8G1A4,0,NO,0.0
O31017,1,YES,10.9
Q0DNU1,1,YES,41.5
Q82VV7,1,YES,82.9
Q5Z5F2,1,YES,63.5
Q69TG5,1,YES,206.2
Q61548,1,YES,1837.7
Q21CY6,0,NO,0.0
A1SLU7,1,YES,142.2
Q64221,1,YES,54.2
Q10076,1,YES,220.4
P23915,1,YES,685.1
B5ZSN5,1,YES,37.8
Q8Z8D2,1,YES,60.0
B2TTS8,1,YES,18.4
A7EW77,1,YES,238.2
Q8Y6W7,1,YES,187.7
B5EC98,1,YES,110.8
B0VV83,1,YES,85.9
Q8XU76,1,YES,665.5
P27610,1,YES,224.7
Q2U6D5,1,YES,237.4
P87744,1,YES,1753.3
Q00911,1,YES,429.1
P13361,1,YES,1818.3
Q5JF28,1,YES,494.9
B1LLF1,1,YES,59.9
Q58161,1,YES,31.8
Q3JWY8,0,NO,0.0
A5UA11,1,YES,671.3
C6C0U7,1,YES,110.1
Q8Z2H2,1,YES,362.1
C1D9Q4,1,YES,14.0
A0R033,1,YES,442.0
Q9M313,1,YES,50.4
Q9CQ70,1,YES,92.7
Q84T08,1,YES,149.7
P0CX79,1,YES,43.6
C8ZER4,1,YES,266.3
A6U6M7,1,YES,21.9
Q6U7Q0,1,YES,925.3
B2K5L2,1,YES,12.4
Q869R9,1,YES,64.9
Q16CZ0,1,YES,142.7
