identifier,metric,found_hit,score
P74397,1,YES,589.6
Q04891,1,YES,561.6
O83049,1,YES,150.3
P59026,1,YES,48.8
P75811,1,YES,34.8
P65023,0,NO,0.0
P38177,1,YES,11.7
P27641,1,YES,268.1
Q00790,1,YES,443.3
Q7N976,1,YES,943.7
Q9Y794,1,YES,195.8
O83057,0,NO,0.0
P73625,1,YES,464.5
P25637,1,YES,116.7
O34926,1,YES,141.2
O83978,1,YES,9.9
P03040,0,YES,14.0
P29675,1,YES,81.7
P53659,0,YES,11.4
Q9TTJ5,1,YES,112.3
Q9ZVH3,1,YES,85.6
P11189,0,NO,0.0
P53091,1,YES,723.5
P35983,0,NO,0.0
Q90839,1,YES,44.5
P67434,1,YES,54.9
Q9JI57,1,YES,519.0
O08976,1,YES,44.7
P11634,1,YES,184.6
P40464,1,YES,155.7
P31119,1,YES,116.6
P48271,1,YES,148.1
P47352,1,YES,64.9
Q9PR96,0,NO,0.0
Q9H4I2,1,YES,502.7
P35841,1,YES,148.7
P52460,0,NO,0.0
P35165,1,YES,72.9
Q8ZYL6,1,YES,97.6
P18583,0,YES,22.3
Q13099,1,YES,89.8
P14816,1,YES,13.4
P08344,0,YES,583.0
Q92G85,1,YES,46.9
P14327,1,YES,91.7
Q9ZCX8,0,NO,0.0
P06129,1,YES,72.4
Q9BQW3,0,NO,0.0
O84905,1,YES,230.1
Q19272,1,YES,368.6
Q9C519,1,YES,254.3
P27336,1,YES,49.0
Q26486,1,YES,200.4
Q89B42,1,YES,47.1
P41895,1,YES,211.1
Q57921,1,YES,14.7
P75279,1,YES,305.2
P16400,1,YES,73.4
P15563,0,YES,49.0
Q01371,0,YES,152.8
P13335,0,YES,12.8
Q9U2T3,0,YES,18.6
Q9BXN1,1,YES,202.3
O83295,1,YES,173.3
P27391,0,NO,0.0
Q7V1D3,1,YES,115.5
Q08979,1,YES,55.7
Q53868,0,NO,0.0
P03264,1,YES,320.3
O07127,1,YES,137.7
Q06259,0,NO,0.0
P46676,0,NO,0.0
P54717,1,YES,54.0
P05476,1,YES,14.6
P08105,0,NO,0.0
P55658,1,YES,108.8
P04546,0,YES,12.1
Q57711,1,YES,108.8
Q00578,1,YES,360.8
Q24595,1,YES,421.0
Q9Z8A0,1,YES,11.0
P0A9G0,1,YES,228.9
Q01751,0,YES,12.2
P19880,1,YES,299.5
Q12999,1,YES,21.0
P22535,0,NO,0.0
Q9PLI1,1,YES,12.5
Q03961,0,YES,11.6
Q9CJ45,1,YES,244.8
O31690,1,YES,190.5
P32862,1,YES,573.2
P40796,1,YES,18.1
O83671,1,YES,12.2
P39419,0,NO,0.0
P13967,0,YES,11.6
P22931,1,YES,14.9
P03546,0,NO,0.0
P40523,1,YES,9.5
P06227,0,NO,0.0
O51093,0,NO,0.0
P0A3U6,1,YES,86.1
Q9YAA0,1,YES,18.8
P43609,1,YES,284.0
P55583,0,NO,0.0
P46100,1,YES,660.6
Q9JK30,1,YES,98.5
P62608,0,NO,0.0
P37874,0,NO,0.0
P35924,1,YES,49.6
Q9P6M2,1,YES,128.6
P33194,0,YES,9.0
P28322,1,YES,428.7
Q02854,0,NO,0.0
P52685,1,YES,44.9
P05845,0,NO,0.0
P30979,1,YES,123.1
P34257,1,YES,129.2
P47175,1,YES,61.9
P03220,0,NO,0.0
P28468,1,YES,89.7
P07695,0,YES,14.9
P45914,0,YES,11.8
Q9UKN8,0,YES,12.4
O67609,1,YES,12.2
P07903,1,YES,248.7
P45215,1,YES,56.2
Q61838,0,NO,0.0
Q09244,0,YES,60.4
Q92804,1,YES,41.4
Q84J78,1,YES,50.8
P32432,1,YES,101.6
Q08456,1,YES,15.0
O35003,1,YES,15.6
P19071,0,NO,0.0
P06925,0,NO,0.0
Q9HUW0,1,YES,100.3
P00429,1,YES,84.6
P37503,1,YES,38.6
O43612,0,YES,13.3
P45130,1,YES,11.8
P45187,1,YES,406.9
P03227,0,NO,0.0
P32140,1,YES,21.6
P04982,1,YES,16.3
P39678,1,YES,713.4
P21331,0,NO,0.0
Q57801,1,YES,13.9
P66812,1,YES,159.0
Q9UGB7,1,YES,15.8
P25976,1,YES,377.5
P08707,1,YES,67.1
Q24762,1,YES,403.7
Q9USZ2,1,YES,224.7
P41397,1,YES,83.3
Q00942,1,YES,206.0
P07676,0,NO,0.0
Q8KA58,1,YES,18.2
Q8TVI1,1,YES,13.1
P31502,0,NO,0.0
P15238,1,YES,29.2
P38334,1,YES,92.2
Q05153,1,YES,387.6
P57718,0,NO,0.0
P96051,1,YES,104.4
P39736,0,YES,79.0
P60008,1,YES,121.7
Q46087,1,YES,103.1
P45551,1,YES,15.6
O69302,1,YES,147.8
Q57966,1,YES,12.6
P06839,1,YES,241.6
Q9AK82,1,YES,343.9
P10030,0,NO,0.0
O43543,1,YES,71.8
P18809,0,NO,0.0
P39343,1,YES,307.1
Q8QZV0,1,YES,260.7
P40950,1,YES,167.6
P03008,1,YES,578.0
P67698,1,YES,71.5
Q9ER80,1,YES,90.6
P54486,0,NO,0.0
Q9AEQ5,0,YES,12.0
P20212,1,YES,14.0
P42247,0,NO,0.0
P10485,1,YES,191.1
O15315,1,YES,172.7
P06627,1,YES,59.3
O80294,1,YES,12.9
P42842,1,YES,36.1
Q9X5U0,1,YES,279.6
Q86DC6,1,YES,225.5
P57368,1,YES,17.0
P24001,0,NO,0.0
O66960,0,YES,13.2
O33683,0,NO,0.0
P32398,1,YES,56.6
P36299,1,YES,100.5
Q9HSM2,1,YES,616.3
Q00855,1,YES,44.8
P64945,0,NO,0.0
P51593,0,YES,327.2
P06018,1,YES,11.1
P25711,1,YES,72.4
P55519,1,YES,15.5
P64002,1,YES,16.2
O13606,1,YES,116.9
O28078,0,NO,0.0
Q64256,1,YES,21.4
O61365,1,YES,66.5
O66861,0,YES,14.1
Q8TU04,1,YES,14.7
Q9T1T3,0,NO,0.0
P22058,0,NO,0.0
P47101,1,YES,11.0
P32566,1,YES,154.6
Q10067,1,YES,35.9
Q95153,1,YES,95.9
P95979,1,YES,464.0
P16148,1,YES,16.9
P0A9V7,1,YES,20.7
P17531,1,YES,546.3
P22392,0,YES,122.8
O43261,1,YES,14.9
Q9RY51,1,YES,241.1
Q9VHR8,1,YES,756.6
Q9PR33,0,NO,0.0
P25210,1,YES,200.0
P22374,1,YES,34.4
Q8R4S5,1,YES,302.5
P0A9G2,1,YES,54.1
