identifier,cluster
A0A0G2JZ79,1
Q96EB6,1
Q923E4,1
A0A0H3MDW1,2
A0A178VEK7,3
A0A1D5NS60,4
A0A1D8PFP2,5
A0A1D8PN96,6
A0A2K5TU92,7
A0A250YGJ5,7
P59941,7
Q8N6T7,7
A0A482D308,8
A0A5E4M3Q4,9
A0A5K7RLP0,10
C9JSJ3,10
A0JPL0,11
B2RXC5,11
Q96SR6,11
A2VDP4,11
Q8N184,11
A0MES8,12
A0QTP2,13
P9WGH9,13
Q7AKG9,13
A1A546,14
Q2M1V0,14
A1YFZ3,15
A2T7I6,15
P23196,15
P27695,15
P28352,15
P43138,15
A0MTA1,15
P37454,15
A1YKT1,16
A1Z8D0,17
A1Z9E2,18
A2A432,19
Q3TCH7,19
Q8LGH4,19
A2AJ77,20
Q9H4Q4,20
A2APF3,21
Q8NI51,21
Q9R1D1,21
P49711,21
Q61164,21
Q08705,21
A2Q5W1,22
A0A1X9PY88,22
A9Y0K8,22
A4GTP4,23
P19419,23
P41969,23
A4L7N3,24
E1BPQ1,24
G3V7R4,24
Q12778,24
Q810W5,24
Q9R1E0,24
Q66JJ0,24
Q6EUW2,24
A3RK74,24
A3RK75,24
A4WYU7,25
A5D979,26
Q9H040,26
D3ZVU1,26
G3X912,26
A7M7C7,27
Q2VWA4,27
A7YW45,28
O14744,28
Q4R5M3,28
Q5R698,28
Q6NUA1,28
Q8CIG8,28
O59272,29
Q9H706,30
Q9BXA5,31
O48711,32
Q24145,33
I6X235,34
Q9M336,35
Q09276,36
P00935,37
O96015,38
Q55F94,39
P03706,40
Q7S936,41
P0ADP0,42
Q47146,43
E9RAH5,44
Q9UBI4,45
Q8CI66,45
P08201,46
Q12208,47
P54074,48
Q99075,49
Q9W7C5,49
Q06175,49
Q01580,49
Q06186,49
Q8CFC9,50
Q9Y250,50
P60853,50
A0A126GUP6,51
P10168,52
P56478,52
P13232,52
O35152,53
P02754,54
Q8NBQ7,55
Q54RQ1,56
A0A172U6X0,57
Q9SXY1,58
O49484,59
Q9FHW7,59
Q39255,59
Q9LNT9,59
Q96C24,60
Q8VHQ7,60
Q96DB5,61
P40996,62
Q8IXW0,63
O15263,64
Q65EX3,65
P08432,66
Q9SM23,67
Q9STP8,67
Q8LBM2,68
Q9C107,69
Q62866,70
P41438,70
P41440,70
P55100,71
P07896,71
Q9DBM2,71
Q6NYL3,71
Q5R5M8,71
Q08426,71
O08617,72
Q62132,72
Q86UG4,73
Q12196,74
P59666,75
P59665,75
Q54GP3,76
Q9H788,77
Q2GCH7,78
Q2GEB6,79
Q2GL36,80
Q5PA81,80
A5V5X5,80
Q1GVN6,80
Q2N9D7,80
Q5NQ40,80
A0L5Z8,80
A1B052,80
A3PGN5,80
A4WVI4,80
Q16AB8,80
Q1GK04,80
Q28US8,80
Q5LW32,80
A4YSL6,80
A5VQY2,80
A6U883,80
A6X0E2,80
A7HWT5,80
A7IPP6,80
A8IAN5,80
A9M5M5,80
B0CH07,80
B0UHU5,80
B1LWP9,80
B1Z768,80
B2IF96,80
B2S655,80
B3PWU5,80
B3QBV5,80
B6JEY9,80
B7L0S5,80
B8EIT5,80
B8IT35,80
B9JDV2,80
B9JVR1,80
C0RJH6,80
C3MB03,80
P0A4E3,80
Q07KP2,80
Q11HS6,80
Q134V3,80
Q1QN06,80
Q211H2,80
Q2IXN6,80
Q3SSU2,80
Q89JA7,80
Q98N33,80
A8GVD7,80
A8EZJ2,80
A8F2C3,80
A8GPC6,80
A8GT45,80
C3PP83,80
C4K2F5,80
Q1RHP5,80
Q4UMQ5,80
Q68WA2,80
Q92GZ0,80
Q9ZCS9,80
A9H3I9,80
A5FZU1,80
B0T2E6,80
B4R8P1,80
B8H4F8,80
Q0BUM6,80
Q2G5B0,80
Q4FLP1,80
Q5FU07,80
A9IVZ5,80
A1USR8,80
Q6FZE6,80
Q9FDC7,80
B3CT29,80
A5CCI9,80
Q0BYD8,80
Q0ANS4,80
Q2RQY4,80
B6IRT0,80
Q2W2L3,80
Q749B3,80
A1ALW7,80
Q39XX9,80
Q3A6M0,80
Q88XW0,80
Q03EE2,80
Q03PY3,80
Q3YRN2,80
Q2GH33,80
Q5HAU5,80
Q5FFS1,80
Q73HA9,80
Q5GSW7,80
Q2GLU6,81
Q5P9D7,81
B9KH95,81
Q2HCM6,82
Q2HEW7,83
Q2HIV9,84
Q700E3,84
Q2HJ84,85
O70477,85
P55347,85
Q5R6L1,85
Q8BG99,85
Q96KN3,85
Q2HR73,86
Q2HRD0,87
P03198,87
Q1HVC1,87
Q3KSP1,87
P24907,87
P52367,87
Q2I689,88
Q9UM63,88
Q2IPJ7,89
A7H905,89
B4UFX9,89
B8JF03,89
Q2JUJ5,90
Q2JL74,90
A2BTB5,90
A2BYR3,90
A2C4X7,90
A2CC51,90
A3PF25,90
A5GIS2,90
A5GVY3,90
A8G739,90
Q0ID28,90
Q318K7,90
Q3AMQ3,90
Q3AW70,90
Q7U4H7,90
Q7UZW6,90
Q7V523,90
Q7V9Y5,90
A2CI44,90
O24710,90
Q3MF97,90
P73297,90
Q7NFF5,90
Q8YPK3,90
Q8DML0,90
A6MW22,90
Q01569,90
Q110D1,90
Q1XDJ5,90
O46914,90
P48118,90
P51293,90
Q6B8X4,90
Q9MUV0,90
Q2KDA9,91
B3PZ93,91
B5ZYK9,91
Q1MMD9,91
A6UFF8,91
C3MCY7,91
Q59752,91
Q8UIH4,91
A9W8R7,91
B0UR68,91
B1ZGU8,91
B7KN75,91
B8IIZ9,91
B1LWY6,91
B6JCQ7,91
A5E887,91
Q89WC9,91
A4YJG9,91
B3Q620,91
Q07UF4,91
Q13EN7,91
Q21CD4,91
Q2J2I0,91
Q3SWN3,91
Q6NDM1,91
B9JZF5,91
Q11AV8,91
A3PFL2,91
A4WVR6,91
B9KQJ9,91
Q3IY64,91
A8IQM5,91
A7IKJ3,91
B2IE81,91
B2S9T2,91
A5VTD0,91
A9MAB2,91
