identifier,cluster
A0A179H0U5,1
A0A1B0GWH4,2
A0A1B0GTS1,2
A0A1L9WLK0,3
A0A411PQN9,3
A0A1W2PPF3,4
A0A1W2PPK0,5
A0A1W2PPM1,5
A0A1W2PQ73,6
Q6ZN32,6
A0A1W2PRP0,7
A0A1W5T1T3,8
A0A1W6I186,9
A0A2G5ICB4,10
A0ST46,10
P39371,11
Q95WY5,12
P27828,13
P64612,14
Q6NUT2,15
P0CW70,15
Q99260,16
P35279,16
P34213,16
Q22782,16
P17608,16
P20340,16
O18334,16
P61294,16
Q9H0N0,16
Q5JT25,16
O80501,16
P08337,17
Q96DZ7,18
Q9LFU0,19
P32780,20
P16262,21
O04705,22
P93771,22
P0C5H5,22
Q39110,22
Q39111,22
Q39112,22
P14789,23
P52073,24
Q8BVG4,25
Q86TI2,25
Q6V1X1,25
Q9H832,26
Q3UE37,26
P32854,27
P03959,28
Q6P689,29
Q5T9L3,29
Q6DID7,29
Q8N9A8,30
P38353,31
Q10364,32
P50530,32
Q5AHG6,32
P11792,32
P50520,33
Q9M3C6,34
Q9SIH4,35
Q9ZQI2,35
Q9JM61,36
Q8TC07,37
Q09274,38
Q24418,39
Q9HD26,40
Q8BH60,40
P40319,41
P58335,42
Q9CZ52,42
Q0PMD2,42
Q9H6X2,42
Q0E671,43
Q99KK2,43
Q8NFW8,43
P59632,44
P0DTC3,44
Q9NZP8,45
Q8IUC1,46
P00438,47
Q96IU4,48
P14770,49
Q8NEP3,50
Q9NEZ5,51
Q9I485,52
Q8J0P4,53
Q9BRQ6,54
A6NJ78,55
Q91ZZ3,56
Q63754,56
Q91448,56
P37840,56
Q63544,56
Q16143,56
O55042,56
Q9NZ50,56
P37377,56
Q9Z0F7,56
O76070,56
Q6ZTN6,57
Q86YJ7,57
Q07212,58
P01830,58
P01831,58
P04216,58
P55083,59
Q81RQ4,60
Q9R157,61
Q9Y3Q7,61
Q9V3Z2,62
B4YQU1,63
O70497,64
O00602,64
P57756,64
O70165,64
Q9WTS8,64
P26644,65
P02749,65
Q95LB0,65
P33703,65
Q01339,65
A9SY39,66
A9RVK2,66
C4YMW2,67
P43534,67
P36597,67
O70551,68
Q5RD27,68
O54781,68
Q9V3N2,69
Q8WV16,70
P28248,71
Q9Y6N5,72
Q96FW1,73
P56513,74
I3LMB3,74
O00168,74
Q3SZX0,74
Q9Z239,74
O08589,74
Q9H0Q3,74
Q9SID3,75
O24495,75
Q9Y5Q6,76
Q9SKB3,77
Q5E9F2,78
P14901,78
P06762,78
P09601,78
P32394,78
O70252,78
P23711,78
P30519,78
P0A6A0,79
Q96P47,80
Q8VHH5,80
Q9UPQ3,80
Q8BXK8,80
D4NUX0,81
Q9LXR7,82
A7BFV8,83
P0A8V0,84
Q9M1G4,85
Q9LSR8,85
Q9LSS0,85
Q7FK82,85
Q9LSR9,85
P08819,86
P08818,86
Q9M099,86
A0A0C3VJP4,86
Q8TEJ3,87
Q6NWF1,88
E1WKT5,89
G5EEL0,90
Q9UJT1,91
Q9R1K7,91
Q8IZI9,92
Q8IU54,92
B1X6B7,93
P59332,93
B5YSJ3,93
B7M3A5,93
A1ACB2,93
Q3Z0M5,93
B7L8Y4,93
B7NRB5,93
A7ZN88,93
A6QEK3,93
Q2YSB0,93
Q6GJB7,93
Q6GBT6,93
A5IQA5,93
Q02IV5,93
Q9I4K0,93
B7UX51,93
Q56A40,94
P18872,95
P16378,95
P50147,95
P51875,95
P09471,95
P59215,95
P20353,95
Q5RAD4,95
B2RSH2,95
P38401,95
P10824,95
P38400,95
P04897,95
P08752,95
Q9DC51,95
P38403,95
P27044,95
P04899,95
P87383,95
P08753,95
P50146,95
Q9N2V6,95
P08754,95
P38402,95
Q00743,95
P0C7Q4,95
A8MTJ3,95
Q28300,95
P11488,95
P20612,95
P04695,95
P50149,95
P29348,95
Q3V3I2,95
P19087,95
P04696,95
Q18434,95
P16894,95
O70443,95
P19086,95
P19627,95
P28052,95
P22454,95
O80568,96
Q9UHF0,97
P36077,98
Q9YGK2,99
Q9YGK5,99
Q9YGK4,99
Q04617,99
G5EBV0,100
Q8R2Z5,101
Q6PCB0,101
P28366,102
Q3TPX4,103
P14902,104
P28776,104
G5EG88,105
Q63472,106
O95259,106
Q8NCM2,106
Q920E3,106
Q9EPI9,106
Q12438,107
Q949Y5,108
Q6ZFH6,109
Q9LDH0,109
Q4WAZ6,110
P39705,111
Q552C6,112
Q75JK0,112
P50114,113
P04631,113
P04271,113
P35467,113
P56565,113
Q8WXG8,113
P23297,113
P25815,113
Q08601,114
O75529,115
P38051,116
Q5T2D2,117
G5ECP4,118
Q9JJW5,119
Q9NPC6,119
Q680B9,120
F4JKB6,120
P24639,121
Q4GZT3,122
O35245,122
H2LRU7,122
Q6IVV8,122
Q9ZQ80,123
P39706,124
P50457,125
P22256,125
P25086,126
P18510,126
P25085,126
Q29451,127
O00754,127
O09159,127
P9WNU7,128
Q94IB8,129
P46551,130
Q8VBT9,131
Q9BZE9,131
Q9P6Q6,132
Q9LX66,133
Q9LK35,133
Q9U2B7,134
P42971,135
Q9LW27,136
Q04491,137
Q9D1M0,137
Q5XFW8,137
Q9LYU7,138
P23786,139
Q5U3U3,139
Q7ZXE1,139
Q6P4X5,139
P18886,139
Q2KJB7,139
P52825,139
Q92485,140
P58242,140
Q94IA6,141
Q9M066,141
Q6EJ98,142
Q9FJX5,142
P02687,143
P02688,143
P25576,144
A0R2K8,145
Q8WY54,146
Q80Z30,146
Q80TL0,146
P01008,147
P32261,147
P41361,147
O08736,148
Q920D5,148
Q6C2F5,149
Q5PT50,150
Q5PT53,150
Q0GE19,150
Q2TAA5,151
P40750,152
P48756,153
P09681,153
Q99NI4,154
Q7TT16,154
Q8NFU5,154
Q03373,155
O52378,156
Q52126,156
P32323,157
P08539,158
P18507,159
Q8N1C3,159
P21548,159
P18508,159
Q9R0Y8,159
P27681,159
Q99928,159
P34904,159
P28473,159
P20237,159
Q90845,159
P19969,159
P30191,159
P34903,159
Q9D6F4,159
P14867,159
Q16445,159
P26049,159
P31644,159
P10063,159
P23576,159
P62812,159
P26048,159
P08219,159
Q8BHJ7,159
P20236,159
P48169,159
P84091,160
P35603,160
Q46444,161
P9WN25,162
P50572,163
P56476,163
A8MPY1,163
P47742,163
P24046,163
Q9V785,164
Q9X015,165
P20485,166
O75486,167
Q02293,168
Q8K2I1,168
P49356,168
Q8R4C5,169
O60895,169
Q9JHJ1,169
Q9WUP0,169
P04118,170
Q24141,171
Q6P7W2,172
Q8TBC3,172
F4KIX0,173
Q336N8,173
P61889,174
Q9SN86,174
O82399,174
Q9ZP06,174
Q9ZP05,174
Q9LKA3,174
P08249,174
P04636,174
O13326,175
P50125,175
P06106,175
P28795,176
Q8IVB4,177
F7B113,177
Q8BZ00,177
Q8BLV3,177
Q92581,177
A1L3P4,177
Q96T83,177
D3ZJ86,177
Q8NDN9,178
Q86UX2,179
P32472,180
P26885,180
P34935,181
G5ED35,182
A3KPP3,183
Q9Y7J6,184
Q9H8P0,185
Q5RJM1,185
Q94KD3,186
P17712,187
P35557,187
P52792,187
P17405,188
Q0VD19,188
Q04519,188
P17490,189
P07994,189
Q04997,189
P05111,189
Q9HXJ2,190
Q09296,191
P35482,192
B3H5K9,193
O14657,194
Q9ER41,194
Q9ER39,194
Q9ERA9,194
O14656,194
Q60HG2,194
Q8W4P9,195
Q91609,196
Q91620,196
Q91619,196
Q1ERP8,197
Q5T655,198
B2RW38,198
P08839,199
P58687,200
P24670,200
P05194,200
Q186A6,200
Q9LRC8,201
P63228,202
Q9UEF7,203
Q9Z2Y9,203
O35082,203
Q80YW5,204
Q8WXK4,205
Q9C086,206
Q99PT3,206
Q03563,207
P55931,208
Q921G7,208
Q16134,208
Q6UPE1,208
O22854,208
P36553,209
P37702,210
Q9C5C2,210
Q5XTS1,211
D3ZRC4,211
Q9NP80,211
Q8K1N1,211
P04768,212
P04095,212
P32277,213
Q8C9X6,214
Q9H2F5,214
P34077,215
Q09LX1,216
Q8GI14,217
Q94AH1,218
Q8I7T3,219
Q5U315,220
Q6PIY7,220
Q91YI6,220
Q6DFA8,220
P60664,221
Q95XR4,222
E9Q5G7,223
Q8VHB5,224
Q16790,224
B1WC68,225
Q0VCB2,225
Q8VH37,225
Q9BY41,225
P29034,226
P05942,226
P08692,227
P18424,228
P04180,228
P16301,228
P53761,228
Q08960,229
Q08245,230
Q9LMG7,231
Q6ATB4,232
Q9Y2Z9,233
P0A847,234
P28720,234
Q9C7S6,235
O65351,236
G5EBN9,237
Q8K330,238
Q8TE77,238
Q9BS91,239
Q9W534,240
Q8PN26,241
Q8PBH3,241
O51777,241
O83527,241
P13567,241
O26543,241
O31151,241
P0C0Z2,241
Q8G0I9,241
Q8YHC4,241
Q98M36,241
P0CZ40,241
P63384,241
P72481,241
Q5XA89,241
Q8NZJ2,241
Q99Y84,241
Q7MHB5,241
Q7VLW2,241
Q87LA0,241
Q8DCJ3,241
Q9KUW5,241
Q88YI7,241
Q89L46,241
P56899,241
