identifier,cluster
P42584,1
Q54087,2
P21308,3
P27792,4
Q66HH3,4
P12980,4
Q9ASQ2,5
O59851,6
Q1HVG1,7
P03206,7
Q3KSS8,7
Q1II25,8
Q1IKI1,9
C1F130,9
Q01TY0,9
Q1IU64,10
Q1J1K4,11
Q9RX75,11
Q1J1N6,12
Q9RY80,12
Q1JPT7,13
B5XCB8,13
Q1K694,14
Q1KVX4,15
Q8HTL6,15
Q1LU20,16
Q1PF16,17
Q1PFE1,18
Q38914,18
Q6PQQ3,18
Q1QNT2,19
B0UQ51,19
B8ICE5,19
B9JH39,19
A6WZR6,19
B3PTU7,19
B5ZWH9,19
Q1ME47,19
Q2K6D3,19
B9JY41,19
A9CIB3,19
Q0C577,19
Q2W0G3,19
Q6FZ81,19
A9IW95,19
Q92NM8,19
A6UB73,19
C3MEL9,19
Q2KI09,20
O75764,20
P23881,20
P23193,20
P10711,20
Q4KLL0,20
Q29RL9,20
Q148K0,20
Q15560,20
Q9QVN7,20
Q63799,20
Q2KXM9,21
Q8Y0H3,21
Q46Z26,21
A1V6A8,21
A3NBR9,21
Q63SA4,21
B2SZU5,21
Q13VN8,21
Q2SXS5,21
A6SXR9,21
A4G6R2,21
B1YVN3,21
A0K5W8,21
A4JCS0,21
A9ADC9,21
B1JYC2,21
Q0BGZ5,21
Q39I64,21
Q1LKN9,21
Q7W9J4,21
Q7VWV7,21
A1WLD5,21
Q128Q7,21
Q21W87,21
Q2Y9J7,21
Q1H0B6,21
Q7NYG9,21
Q820N6,21
Q0AG72,21
Q3SKW8,21
Q47EE8,21
Q5P080,21
Q9JZ26,21
Q5F928,21
Q9JU21,21
Q2LQC9,22
A0LIL7,22
A9FGB8,22
B8G1Z4,22
A4J139,22
Q2RFS6,22
Q3A9U4,22
Q839D9,22
Q67JX1,22
Q8R7Y2,22
B0K5S1,22
A8ZV82,22
C0Q9U7,22
Q01WC0,22
A7HBP5,22
B4UBC6,22
Q1IS93,22
Q2IJ57,22
Q30Z68,22
A1VE90,22
B8DNK9,22
B8IYL7,22
